sample,replicate,pasture,invasion,soil.treatment,week,height,log.height
ESUI.IS5,5,el.salto,Uninvaded,ISS,week5,20.6375,3.027109809
NCUI.MS2,2,north.cuates,Uninvaded,MSS,week5,12.7,2.541601993
NCUI.MS3,3,north.cuates,Uninvaded,MSS,week5,9.525,2.253919921
NCUI.MS5,5,north.cuates,Uninvaded,MSS,week5,13.335,2.590392158
NCUI.IS1,1,north.cuates,Uninvaded,ISS,week5,28.8925,3.363582046
NCUI.IS2,2,north.cuates,Uninvaded,ISS,week5,31.115,3.437690018
NCUI.IS3,3,north.cuates,Uninvaded,ISS,week5,20.6375,3.027109809
NCUI.IS4,4,north.cuates,Uninvaded,ISS,week5,18.7325,2.930259983
NCUI.IS5,5,north.cuates,Uninvaded,ISS,week5,9.525,2.253919921
FUI.MS1,1,finner,Uninvaded,MSS,week5,26.67,3.283539338
FUI.MS2,2,finner,Uninvaded,MSS,week5,28.8925,3.363582046
FUI.MS3,3,finner,Uninvaded,MSS,week5,28.575,3.35253221
FUI.MS4,4,finner,Uninvaded,MSS,week5,24.765,3.209431366
FUI.MS5,5,finner,Uninvaded,MSS,week5,11.1125,2.408070601
FUI.IS1,1,finner,Uninvaded,ISS,week5,2.8575,1.049947117
FUI.IS2,2,finner,Uninvaded,ISS,week5,20.6375,3.027109809
FUI.IS3,3,finner,Uninvaded,ISS,week5,15.24,2.72392355
FUI.IS4,4,finner,Uninvaded,ISS,week5,24.13,3.18345588
ESI.MS1,1,el.salto,Invaded,MSS,week6,26.035,3.259441787
ESI.MS2,2,el.salto,Invaded,MSS,week6,20.32,3.011605623
ESI.MS3,3,el.salto,Invaded,MSS,week6,40.005,3.689004446
ESI.MS4,4,el.salto,Invaded,MSS,week6,50.8,3.927896355
ESI.MS5,5,el.salto,Invaded,MSS,week6,59.055,4.078469213
ESI.IS1,1,el.salto,Invaded,ISS,week6,24.4475,3.196527961
ESI.IS2,2,el.salto,Invaded,ISS,week6,38.735,3.656743584
ESI.IS3,3,el.salto,Invaded,ISS,week6,52.07,3.952588967
ESI.IS4,4,el.salto,Invaded,ISS,week6,43.18,3.765377425
ESI.IS5,5,el.salto,Invaded,ISS,week6,17.145,2.841706586
NCI.MS1,1,north.cuates,Invaded,MSS,week6,20.32,3.011605623
NCI.MS2,2,north.cuates,Invaded,MSS,week6,61.595,4.120580698
NCI.MS3,3,north.cuates,Invaded,MSS,week6,60.325,4.099746612
NCI.MS4,4,north.cuates,Invaded,MSS,week6,67.31,4.209308814
NCI.MS5,5,north.cuates,Invaded,MSS,week6,60.0075,4.094469554
NCI.IS1,1,north.cuates,Invaded,ISS,week6,49.53,3.902578547
NCI.IS2,2,north.cuates,Invaded,ISS,week6,53.34,3.976686519
NCI.IS3,3,north.cuates,Invaded,ISS,week6,42.545,3.750562339
NCI.IS4,4,north.cuates,Invaded,ISS,week6,20.6375,3.027109809
NCI.IS5,5,north.cuates,Invaded,ISS,week6,38.1,3.640214282
FI.MS1,1,finner,Invaded,MSS,week6,31.115,3.437690018
FI.MS2,2,finner,Invaded,MSS,week6,48.26,3.87660306
FI.MS3,3,finner,Invaded,MSS,week6,65.405,4.180598708
FI.MS4,4,finner,Invaded,MSS,week6,67.31,4.209308814
FI.MS5,5,finner,Invaded,MSS,week6,56.1975,4.028872272
FI.IS1,1,finner,Invaded,ISS,week6,55.88,4.023206534
FI.IS2,2,finner,Invaded,ISS,week6,73.025,4.290801848
FI.IS3,3,finner,Invaded,ISS,week6,77.47,4.349890765
FI.IS4,4,finner,Invaded,ISS,week6,22.86,3.129388658
FI.IS5,5,finner,Invaded,ISS,week6,53.975,3.988520976
ESUI.MS1,1,el.salto,Uninvaded,MSS,week6,25.4,3.234749174
ESUI.MS2,2,el.salto,Uninvaded,MSS,week6,41.91,3.735524462
ESUI.MS3,3,el.salto,Uninvaded,MSS,week6,24.13,3.18345588
ESUI.MS4,4,el.salto,Uninvaded,MSS,week6,22.86,3.129388658
ESUI.MS5,5,el.salto,Uninvaded,MSS,week6,24.13,3.18345588
ESUI.IS1,1,el.salto,Uninvaded,ISS,week6,27.94,3.330059354
ESUI.IS2,2,el.salto,Uninvaded,ISS,week6,28.2575,3.341358909
ESUI.IS3,3,el.salto,Uninvaded,ISS,week6,22.225,3.101217781
ESUI.IS4,4,el.salto,Uninvaded,ISS,week6,15.5575,2.744542837
ESUI.IS5,5,el.salto,Uninvaded,ISS,week6,21.59,3.072230245
NCUI.MS2,2,north.cuates,Uninvaded,MSS,week6,15.24,2.72392355
NCUI.MS3,3,north.cuates,Uninvaded,MSS,week6,9.5,2.251291799
NCUI.MS5,5,north.cuates,Uninvaded,MSS,week6,13.6525,2.613922655
NCUI.IS1,1,north.cuates,Uninvaded,ISS,week6,29.21,3.374511116
NCUI.IS2,2,north.cuates,Uninvaded,ISS,week6,33.02,3.497113438
NCUI.IS3,3,north.cuates,Uninvaded,ISS,week6,20.955,3.042377281
NCUI.IS4,4,north.cuates,Uninvaded,ISS,week6,18.415,2.91316555
NCUI.IS5,5,north.cuates,Uninvaded,ISS,week6,8.5,2.140066163
FUI.MS1,1,finner,Uninvaded,MSS,week6,27.94,3.330059354
FUI.MS2,2,finner,Uninvaded,MSS,week6,30.48,3.417070731
FUI.MS3,3,finner,Uninvaded,MSS,week6,30.48,3.417070731
FUI.MS4,4,finner,Uninvaded,MSS,week6,26.035,3.259441787
FUI.MS5,5,finner,Uninvaded,MSS,week6,11.43,2.436241478
FUI.IS1,1,finner,Uninvaded,ISS,week6,5.3975,1.685935883
FUI.IS2,2,finner,Uninvaded,ISS,week6,21.59,3.072230245
FUI.IS3,3,finner,Uninvaded,ISS,week6,15.5575,2.744542837
FUI.IS4,4,finner,Uninvaded,ISS,week6,24.765,3.209431366
